*Species	#	Conn	Mod	AicG	TroG	In	Out	Deg	Pos	Hmin	Hmean	Hmax	TroLev	OI	Clust	Eccen	Rank	CycTime	
Neuroptera	122	1	1	0	0	0	7	7	B	0	0	0	1	0	0.102	4	0.003767	261.7	
Phasmatodea	123	1	1	0	0	0	8	8	B	0	0	0	1	0	0.1563	4	0.003823	251.1	
Zygentoma_	124	1	1	0	0	0	7	7	B	0	0	0	1	0	0.102	4	0.003767	261.7	
Dasycercus_cristicauda	125	1	1	0	0	14	4	18	I	1	1	1	2	0	0.1875	3	0.002699	333.9	
Camponotus_inflatus	126	1	1	0	0	0	11	11	B	0	0	0	1	0	0	4	0.008864	226.2	
Scorpionida	127	1	1	0	0	0	12	12	B	0	0	0	1	0	0.08333	4	0.005556	200.2	
Trigona_sp.	128	1	1	0	0	0	10	10	B	0	0	0	1	0	0	4	0.005693	217	
Dasycercus_hilleri	129	1	1	0	0	14	4	18	I	1	1	1	2	0	0.1875	3	0.002699	333.9	
Dasyurus_hallucatus	130	1	2	0	0	14	2	16	I	1	1.994	2	2.929	0.2575	0.5	4	0.002376	430.2	
Macrotis_lagotis	131	1	1	0	0	5	2	7	I	1	1	1	2	0	0.5	3	0.002435	1103	
Perameles_eremiana	132	1	2	0	0	12	4	16	I	1	1	1	2	0	0.4375	3	0.002623	398.2	
Isodon_auratus	133	1	3	0	0	20	3	23	I	1	1	1	2	0	0.4444	3	0.002507	256.6	
Dromaius_novaehollandiae	134	1	3	0	0	28	2	30	I	1	2.202	3	2.123	0.4802	0.75	3	0.002337	203.6	
Daucus_glochidiatus	135	1	3	0	0	0	3	3	B	0	0	0	1	0	0	4	0.002496	389.1	
Endoxyla_cinerea	136	1	3	0	0	11	7	18	I	1	1	1	2	0	0.04082	4	0.004421	322.3	
Eremophila_longifolia	137	1	3	0	0	0	3	3	B	0	0	0	1	0	0	4	0.002496	389.1	
Hakea_suberea	138	1	3	0	0	0	4	4	B	0	0	0	1	0	0.1875	3	0.002569	353.7	
Nitraria_billardierei	139	1	3	0	0	0	3	3	B	0	0	0	1	0	0	4	0.002496	389.1	
Tetragonia_eremaea	140	1	3	0	0	0	6	6	B	0	0	0	1	0	0	4	0.002976	309.7	
Eremophila_latrobei	141	1	3	0	0	0	3	3	B	0	0	0	1	0	0	4	0.002535	386.8	
Scaevola_parvifolia	142	1	2	0	0	0	4	4	B	0	0	0	1	0	0	4	0.002767	350.6	
Senna_sp.	143	1	2	0	0	0	5	5	B	0	0	0	1	0	0.12	3	0.0028	323.2	
Endoxyla_leucomochla	144	1	3	0	0	11	6	17	I	1	1	1	2	0	0	4	0.004337	338.3	
Bdelloid	145	1	3	0	0	0	1	1	B	0	0	0	1	0	0	5	0.002485	445.9	
Fulica_atra	146	1	3	0	0	10	4	14	I	1	1	1	2	0	0.5625	4	0.00253	475.5	
Brachionus_sp.	147	1	3	0	0	0	1	1	B	0	0	0	1	0	0	5	0.002485	445.9	
Cephalodella_sp.	148	1	3	0	0	0	1	1	B	0	0	0	1	0	0	5	0.002485	445.9	
Lemna_disperma	149	1	3	0	0	0	1	1	B	0	0	0	1	0	0	5	0.002485	445.9	
Myriophyllum_crispatum	150	1	3	0	0	0	1	1	B	0	0	0	1	0	0	5	0.002485	445.9	
Nematodes	151	1	3	0	0	0	1	1	B	0	0	0	1	0	0	5	0.002485	445.9	
Ostracods	152	1	3	0	0	0	1	1	B	0	0	0	1	0	0	5	0.002485	445.9	
Protozoans_(ciliates)	153	1	3	0	0	0	1	1	B	0	0	0	1	0	0	5	0.002485	445.9	
Typha_dominguensis	154	1	3	0	0	0	1	1	B	0	0	0	1	0	0	5	0.002485	445.9	
Typha_orientalis	155	1	3	0	0	0	1	1	B	0	0	0	1	0	0	5	0.002485	445.9	
Chortoicetes_terminifera	156	1	1	0	0	0	7	7	B	0	0	0	1	0	0	4	0.005041	258.7	
Rhyncharrhena_linearis	157	1	2	0	0	0	6	6	B	0	0	0	1	0	0.1111	3	0.003159	287.5	
Calandrinia_polyandra	158	1	3	0	0	0	2	2	B	0	0	0	1	0	0	4	0.002476	418.5	
Macropus_robustus	159	1	2	0	0	13	3	16	I	1	1	1	2	0	0.6667	3	0.002453	392.8	
Macropus_rufus	160	1	2	0	0	12	2	14	I	1	1	1	2	0	0.75	3	0.002337	459.5	
Sminthopsis_macroura	161	1	1	0	0	3	1	4	I	1	1	1	2	0	0	4	0.002308	2026	
Trichosurus_vulpecula	162	1	3	0	0	16	4	20	I	1	1	1	2	0	0.5	3	0.002633	297.2	
Ficus_brachypoda	163	1	3	0	0	0	2	2	B	0	0	0	1	0	0	4	0.002452	416	
Varanus_giganteus	164	1	1	0	0	17	1	18	I	1	7.995	13	2.647	2.171	0	3	0.002265	291.6	
Bird_egg_shell	165	1	1	0	0	0	5	5	B	0	0	0	1	0	0.12	4	0.002957	332.3	
Varanus_panoptes	166	1	1	0	0	17	1	18	I	1	7.995	13	2.647	2.171	0	3	0.002265	291.6	
Vulpes_vulpes	167	1	1	0	0	11	3	14	I	1	8.127	13	2.632	2.94	0.5556	3	0.002414	393.3	
Aquila_audax	168	1	1	0	0	22	3	25	I	1	7.55	13	3.168	2.535	0.5556	3	0.002556	214	
Canis_lupus_dingo	169	1	1	0	0	33	2	35	I	1	7.938	13	3.084	2.592	0.5	3	0.002381	138.4	
Felis_catus	170	1	1	0	0	32	3	35	I	1	7.868	13	3.135	2.237	0.6667	3	0.002453	172.9	
Chioromyces_aboriginum	171	1	3	0	0	0	2	2	B	0	0	0	1	0	0.25	3	0.002321	410.6	
Mycoclelandia_bulundarii	172	1	3	0	0	0	1	1	B	0	0	0	1	0	0	4	0.002265	439.7	
Portulaca_oleracea	173	1	3	0	0	0	2	2	B	0	0	0	1	0	0	4	0.002539	405	
Fire	174	1	3	0	0	80	1	81	I	1	2.174	3	2.151	0.492	0	4	0.004463	80.93	
human	175	1	3	0	0	1	0	1	T	2	3.174	4	3.151	0	0	5	0.002232	1177	
