predator,prey,weight
Ctenophorus caudicinctus,Phasmatodea,0.1
Ctenophorus caudicinctus,Zygentoma ,16
Ctenotus isolepis,Araneidae,13
Ctenotus isolepis,Blattodea,2.5
Ctenotus isolepis,Blattodea,28.6
Ctenotus isolepis,Chilopoda,1.4
Ctenotus isolepis,Coleoptera,7
Ctenotus isolepis,Ctenotus robustus,0.7
Ctenotus isolepis,Diptera,0.6
Ctenotus isolepis,Formicidae,17.9
Ctenotus isolepis,Heteroptera,2.5
Ctenotus isolepis,Lepidoptera,3.5
Ctenotus isolepis,Mantodea,1
Ctenotus isolepis,Neuroptera,0.2
Ctenotus isolepis,Orthoptera,5
Ctenotus isolepis,Phasmatodea,0.1
Ctenotus isolepis,Zygentoma ,16
Ctenotus leonhardii,Araneidae,13
Ctenotus leonhardii,Blattodea,2.5
Ctenotus leonhardii,Blattodea,28.6
Ctenotus leonhardii,Chilopoda,1.4
Ctenotus leonhardii,Coleoptera,7
Ctenotus leonhardii,Ctenotus robustus,1
Ctenotus leonhardii,Diptera,1
Ctenotus leonhardii,Formicidae,17.9
Ctenotus leonhardii,Heteroptera,2.5
Ctenotus leonhardii,Lepidoptera,3.5
Ctenotus leonhardii,Mantodea,0.7
Ctenotus leonhardii,Neuroptera,0.1
Ctenotus leonhardii,Orthoptera,4.7
Ctenotus leonhardii,Phasmatodea,0.1
Ctenotus leonhardii,Zygentoma ,16
Ctenotus robustus,Araneidae,13
Ctenotus robustus,Blattodea,2.5
Ctenotus robustus,Blattodea,28.6
Ctenotus robustus,Chilopoda,1.4
Ctenotus robustus,Coleoptera,6
Ctenotus robustus,Ctenotus robustus,0.7
Ctenotus robustus,Diptera,0.6
Ctenotus robustus,Formicidae,17.9
Ctenotus robustus,Heteroptera,3.5
Ctenotus robustus,Lepidoptera,3.5
Ctenotus robustus,Mantodea,1
Ctenotus robustus,Neuroptera,0.2
Ctenotus robustus,Orthoptera,5
Ctenotus robustus,Phasmatodea,0.1
Ctenotus robustus,Zygentoma ,16
Ctenotus strauchii,Araneidae,13
Ctenotus strauchii,Blattodea,3.5
Ctenotus strauchii,Blattodea,28.6
Ctenotus strauchii,Chilopoda,1.4
Ctenotus strauchii,Coleoptera,6
Ctenotus strauchii,Ctenotus robustus,0.7
Ctenotus strauchii,Diptera,1
Ctenotus strauchii,Formicidae,17.9
Ctenotus strauchii,Heteroptera,2.5
Ctenotus strauchii,Lepidoptera,3.5
Ctenotus strauchii,Mantodea,1
Ctenotus strauchii,Neuroptera,0.1
Ctenotus strauchii,Orthoptera,4.7
Ctenotus strauchii,Phasmatodea,0.1
Ctenotus strauchii,Zygentoma ,16
Dasycercus cristicauda,Araneidae,8
Dasycercus cristicauda,Blattodea,7.5
Dasycercus cristicauda,Camponotus inflatus,2
Dasycercus cristicauda,Chilopoda,7.5
Dasycercus cristicauda,Coleoptera,7.5
Dasycercus cristicauda,Formicidae,7.5
Dasycercus cristicauda,Lepidoptera,7.5
Dasycercus cristicauda,Mantodea,7.5
Dasycercus cristicauda,Neuroptera,7.5
Dasycercus cristicauda,Orthoptera,7.5
Dasycercus cristicauda,Phasmatodea,7.5
Dasycercus cristicauda,Scorpionida,7.5
Dasycercus cristicauda,Trigona sp.,7.5
Dasycercus cristicauda,Zygentoma ,7.5
Dasycercus hilleri,Araneidae,8
Dasycercus hilleri,Blattodea,7.5
Dasycercus hilleri,Camponotus inflatus,2
Dasycercus hilleri,Chilopoda,7.5
Dasycercus hilleri,Coleoptera,7.5
Dasycercus hilleri,Formicidae,7.5
Dasycercus hilleri,Lepidoptera,7.5
Dasycercus hilleri,Mantodea,7.5
Dasycercus hilleri,Neuroptera,7.5
Dasycercus hilleri,Orthoptera,7.5
Dasycercus hilleri,Phasmatodea,7.5
Dasycercus hilleri,Scorpionida,7.5
Dasycercus hilleri,Trigona sp.,7.5
Dasycercus hilleri,Zygentoma ,7.5
Dasyurus hallucatus,Bettongia lesueur,5
Dasyurus hallucatus,Chaeropus ecaudatus,5
Dasyurus hallucatus,Lagorchestes hirsutus,5
Dasyurus hallucatus,Macrotis lagotis,5
Dasyurus hallucatus,Notomys sp.,5
Dasyurus hallucatus,Orthoptera,5
Dasyurus hallucatus,Perameles eremiana,5
Dasyurus hallucatus,Taeniopygia guttata,15
Dasyurus hallucatus,Isodon auratus,5
Dasyurus hallucatus,Melopsittacus undulatus,15
Dasyurus hallucatus,Notoryctes caurinus,5
Dasyurus hallucatus,Ocyphaps lophotes,15
Dasyurus hallucatus,Petrogale lateralis,5
Dasyurus hallucatus,Tachyglossus aculeatus,5
Dromaius novaehollandiae,Acacia aneura,2
Dromaius novaehollandiae,Allocasuarina decaisneana,2
Dromaius novaehollandiae,Amyema sp.,2
Dromaius novaehollandiae,Canthium attenuatum,2
Dromaius novaehollandiae,Canthium latifolium,2
Dromaius novaehollandiae,Capparis loranthifolia,2
Dromaius novaehollandiae,Capparis umbonata,2
Dromaius novaehollandiae,Chenopodium curvispicatum,2
Dromaius novaehollandiae,Cynanchum floribundum,2
Dromaius novaehollandiae,Daucus glochidiatus,2
Dromaius novaehollandiae,Enchylaena tomentosa,5
Dromaius novaehollandiae,Endoxyla cinerea,2
Dromaius novaehollandiae,Eremophila longifolia,15
Dromaius novaehollandiae,Grevillea eriostachya,10
Dromaius novaehollandiae,Grevillea stenobotrya,2
Dromaius novaehollandiae,Grevillea wickhamii,2
Dromaius novaehollandiae,Hakea leucoptera,2
Dromaius novaehollandiae,Hakea suberea,10
Dromaius novaehollandiae,Leiolopisma metallicum,1
