"predator","prey","From","To","Type"
"Aspidites ramsayii","Pogona minor","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Pogona vitticeps","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Pseudechis australis","Snakes","Snakes","Predator-prey"
"Aspidites ramsayii","Reptile eggs","Snakes","eggs","Predator-prey"
"Aspidites ramsayii","Taeniopygia guttata","Snakes","bird","Predator-prey"
"Aspidites ramsayii","Tiliqua multifasciata","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Tiliqua occipitalis","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Tiliqua scincoides","Snakes","skinks","Predator-prey"
"Aspidites ramsayii","Varanus acanthurus","Snakes","goanna","Predator-prey"
"Aspidites ramsayii","Varanus gouldii","Snakes","goanna","Predator-prey"
"Aspidites ramsayii","Varanus tristis","Snakes","goanna","Predator-prey"
"Aspidites ramsayii","Melopsittacus undulatus","Snakes","bird","Predator-prey"
"Aspidites ramsayii","Notoryctes caurinus","Snakes","small mammal","Predator-prey"
"Aspidites ramsayii","Ocyphaps lophotes","Snakes","bird","Predator-prey"
"Aspidites ramsayii","Petrogale lateralis","Snakes","small mammal","Predator-prey"
"Aspidites ramsayii","Tachyglossus aculeatus","Snakes","small mammal","Predator-prey"
"Bettongia lesueur","Eragrostis eriopoda","small mammal","spinifex","Predator-prey"
"Bettongia lesueur","Eragrostis lanipes","small mammal","spinifex","Predator-prey"
"Bettongia lesueur","Eragrostis setifolia","small mammal","spinifex","Predator-prey"
"Bettongia lesueur","Panicum decompositum","small mammal","spinifex","Predator-prey"
"Bettongia lesueur","Plectrachne schinzii","small mammal","spinifex","Predator-prey"
"Bettongia lesueur","Ptilotus exaltatus","small mammal","forb","Predator-prey"
"Bettongia lesueur","Ptilotus macrocephalus","small mammal","forb","Predator-prey"
"Bettongia lesueur","Ptilotus polystachyus","small mammal","forb","Predator-prey"
"Bettongia lesueur","Sida calyxhymenia","small mammal","bush","Predator-prey"
"Bettongia lesueur","Triodia basedownii","small mammal","spinifex","Predator-prey"
"Bettongia lesueur","Triodia longiceps","small mammal","spinifex","Predator-prey"
"Bettongia lesueur","Triodia pungens","small mammal","spinifex","Predator-prey"
"Calyptorhynchus roseicapilla","Acacia acradenia","bird","Acacia","Predator-prey"
"Calyptorhynchus roseicapilla","Acacia aneura","bird","Acacia","Predator-prey"
"Calyptorhynchus roseicapilla","Acacia coriacea","bird","Acacia","Predator-prey"
"Calyptorhynchus roseicapilla","Acacia cowleana","bird","Acacia","Predator-prey"
"Calyptorhynchus roseicapilla","Acacia cuthbertsoni","bird","Acacia","Predator-prey"
"Calyptorhynchus roseicapilla","Acacia dictyophleba","bird","Acacia","Predator-prey"
"Calyptorhynchus roseicapilla","Acacia kempeana","bird","Acacia","Predator-prey"
"Calyptorhynchus roseicapilla","Acacia ligulata","bird","Acacia","Predator-prey"
"Calyptorhynchus roseicapilla","Acacia pruinocarpa","bird","Acacia","Predator-prey"
"Calyptorhynchus roseicapilla","Acacia spondylophylla","bird","Acacia","Predator-prey"
"Calyptorhynchus roseicapilla","Acacia tetragonophylla","bird","Acacia","Predator-prey"
"Calyptorhynchus roseicapilla","Allocasuarina decaisneana","bird","Acacia","Predator-prey"
"Calyptorhynchus roseicapilla","Eucalyptus opaca","bird","Acacia","Predator-prey"
"Camelus dromedarius","Amyema sp.","camel","vine","Predator-prey"
"Camelus dromedarius","Canthium attenuatum","camel","vine","Predator-prey"
"Camelus dromedarius","Canthium latifolium","camel","vine","Predator-prey"
"Camelus dromedarius","Capparis loranthifolia","camel","bush","Predator-prey"
"Camelus dromedarius","Capparis umbonata","camel","bush","Predator-prey"
"Camelus dromedarius","Cynanchum floribundum","camel","bush","Predator-prey"
"Camelus dromedarius","Dactyloctenium radulans","camel","forb","Predator-prey"
"Camelus dromedarius","Eragrostis eriopoda","camel","spinifex","Predator-prey"
"Camelus dromedarius","Eragrostis lanipes","camel","spinifex","Predator-prey"
"Camelus dromedarius","Eragrostis setifolia","camel","spinifex","Predator-prey"
"Camelus dromedarius","Hakea leucoptera","camel","wama","Predator-prey"
"Camelus dromedarius","Leptosema chambersii","camel","bush","Predator-prey"
