Species	#	Conn	Mod	*AicG	TroG	In	Out	Deg	Pos	Hmin	Hmean	Hmax	TroLev	OI	Clust	Eccen	Rank	CycTime	
Acacia_cuthbertsoni	23	1	0	18	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003744	263.4	
Acacia_aneura	24	1	0	18	0	0	9	9	B	0	0	0	1	0	0.1111	3	0.003828	251.3	
Acacia_ligulata	25	1	0	18	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003744	263.4	
Acacia_cowleana	26	1	0	18	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003744	263.4	
Acacia_dictyophleba	27	1	0	18	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003744	263.4	
Ctenophorus_caudicinctus	28	1	0	17	0	14	6	20	I	1	1.5	2	2.077	0.2575	0.1111	3	0.002836	311.4	
Ctenotus_robustus	29	1	0	17	0	14	13	27	I	1	1	1	2.077	0.2575	0.2367	3	0.004207	195.9	
Dasycercus_hilleri	30	1	0	17	0	14	4	18	I	1	1	1	2	0	0.1875	3	0.002724	332.6	
Ctenotus_leonhardii	31	1	0	17	0	14	6	20	I	1	1.5	2	2.077	0.2575	0.1667	3	0.002872	299.2	
Dasycercus_cristicauda	32	1	0	17	0	14	4	18	I	1	1	1	2	0	0.1875	3	0.002724	332.6	
Ctenotus_strauchii	33	1	0	17	0	14	5	19	I	1	1.5	2	2.077	0.2575	0.12	4	0.002794	318.7	
Ctenotus_isolepis	34	1	0	17	0	14	11	25	I	1	1.5	2	2.077	0.2575	0.1736	3	0.003385	231.7	
Zygentoma_	35	1	0	16	0	0	7	7	B	0	0	0	1	0	0.102	4	0.003791	261.2	
Neuroptera	36	1	0	16	0	0	7	7	B	0	0	0	1	0	0.102	4	0.003791	261.2	
Phasmatodea	37	1	0	16	0	0	8	8	B	0	0	0	1	0	0.1563	4	0.003819	251.3	
Diptera	38	1	0	16	0	0	6	6	B	0	0	0	1	0	0.1389	4	0.003471	278	
Mantodea	39	1	0	16	0	0	8	8	B	0	0	0	1	0	0.07813	4	0.00386	248.4	
Heteroptera	40	1	0	16	0	0	8	8	B	0	0	0	1	0	0.07813	4	0.004451	241.5	
Oryctolagus_cuniculus	41	1	0	15	0	19	2	21	I	1	1	1	2	0	0.5	3	0.002355	290.8	
Bettongia_lesueur	42	1	0	15	0	12	7	19	I	1	1	1	2	0	0.2449	3	0.002901	333.8	
Macropus_rufus	43	1	0	15	0	12	2	14	I	1	1	1	2	0	0.75	3	0.002359	457.8	
Taeniopygia_guttata	44	1	0	15	0	19	8	27	I	1	1	1	2	0	0.2031	3	0.002938	197.7	
Turnix_velox	45	1	0	15	0	12	3	15	I	1	1	1	2	0	0.4444	3	0.002439	419.5	
Chaeropus_ecaudatus	46	1	0	15	0	9	4	13	I	1	1	1	2	0	0.4375	3	0.002647	528.8	
Perameles_eremiana	47	1	0	15	0	12	4	16	I	1	1	1	2	0	0.4375	3	0.002647	396.6	
Macropus_robustus	48	1	0	15	0	13	3	16	I	1	1	1	2	0	0.6667	3	0.002476	391.3	
Falco_longipennis	49	1	0	14	0	22	3	25	I	1	3.158	5	2.828	0.8201	0.5556	3	0.002472	270	
Suta_suta	50	1	0	14	0	16	4	20	I	2	2.631	4	3.089	0.4321	0.0625	3	0.00259	355.5	
Pseudechis_australis	51	1	0	14	0	16	5	21	I	2	2.631	4	3.089	0.4321	0.08	3	0.002615	335.4	
Varanus_tristis	52	1	0	14	0	11	3	14	I	1	2.303	3	2.469	0.6199	0	4	0.002469	603.9	
Oedura_marmorata	53	1	0	14	0	10	6	16	I	1	2.5	3	2.444	0.717	0.1944	3	0.002913	511.8	
Vulpes_vulpes	54	1	0	14	0	11	3	14	I	1	8.127	13	2.632	2.94	0.5556	3	0.002436	391.5	
Fire	55	1	0	13	0	80	0	80	T	1	2.174	3	2.151	0.492	0	4	0.002253	86.59	
Corvus_cecilae	56	1	0	12	0	36	3	39	I	1	7.135	11	2.412	1.257	0.4444	3	0.002481	123.2	
Isodon_auratus	57	1	0	12	0	20	3	23	I	1	1	1	2	0	0.4444	3	0.00253	255.6	
human	58	1	0	11	0	86	6	92	I	1	6.511	11	2.692	2.499	0.4167	2	0.002882	39.98	
Calyptorhynchus_roseicapilla	59	1	0	10	0	13	1	14	I	1	1	1	2	0	0	3	0.002286	456.5	
Melopsittacus_undulatus	60	1	0	10	0	11	7	18	I	1	1	1	2	0	0.2041	3	0.00282	361.2	
Endoxyla_leucomochla	61	1	0	10	0	11	6	17	I	1	1	1	2	0	0	4	0.004368	337.2	
Endoxyla_cinerea	62	1	0	10	0	11	7	18	I	1	1	1	2	0	0.04082	4	0.004452	321.1	
Solanum_centrale	63	1	0	9	0	0	7	7	B	0	0	0	1	0	0.1224	3	0.002943	286.9	
Solanum_diversiflorum	64	1	0	9	0	0	7	7	B	0	0	0	1	0	0.1224	3	0.002943	286.9	
Capparis_umbonata	65	1	0	9	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003041	269.9	
Yakirra_australiensis	66	1	0	9	0	0	10	10	B	0	0	0	1	0	0.07	3	0.003714	231.4	
Canthium_latifolium	67	1	0	9	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003041	269.9	
Solanum_lasiophyllum	68	1	0	9	0	0	5	5	B	0	0	0	1	0	0	4	0.002834	329.8	
Cynanchum_floribundum	69	1	0	9	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003041	269.9	
Capparis_loranthifolia	70	1	0	9	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003041	269.9	
Canthium_attenuatum	71	1	0	9	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003041	269.9	
Solanum_gilesii	72	1	0	9	0	0	7	7	B	0	0	0	1	0	0.1224	3	0.002943	286.9	
Amyema_sp.	73	1	0	9	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003041	269.9	
Solanum_cleistogamum	74	1	0	9	0	0	7	7	B	0	0	0	1	0	0.1224	3	0.002943	286.9	
Tecticornia_verrucosa	75	1	0	9	0	0	8	8	B	0	0	0	1	0	0.1094	3	0.003041	269.9	
Solanum_chippendalei	76	1	0	9	0	0	7	7	B	0	0	0	1	0	0.1224	3	0.002943	286.9	
Scaevola_parvifolia	77	1	0	9	0	0	4	4	B	0	0	0	1	0	0	4	0.002765	350.9	
Thyridolepis_multiculmis	78	1	0	9	0	0	8	8	B	0	0	0	1	0	0	4	0.003471	263.4	
Portulaca_oleracea	79	1	0	9	0	0	2	2	B	0	0	0	1	0	0	4	0.002535	405.7	
Rhyncharrhena_linearis	80	1	0	9	0	0	6	6	B	0	0	0	1	0	0.1111	3	0.00316	287.5	
Tetragonia_eremaea	81	1	0	9	0	0	6	6	B	0	0	0	1	0	0	4	0.002975	309.8	
Senna_sp.	82	1	0	9	0	0	5	5	B	0	0	0	1	0	0.12	3	0.002798	323.4	
Varanus_gouldii	83	1	0	8	0	17	9	26	I	1	7.51	12	2.647	2.171	0.3333	3	0.003153	171.5	
Varanus_panoptes	84	1	0	8	0	17	1	18	I	1	7.995	13	2.647	2.171	0	3	0.002286	290.2	
Varanus_giganteus	85	1	0	8	0	17	1	18	I	1	7.995	13	2.647	2.171	0	3	0.002286	290.2	
Psylla_eucalypti	86	1	0	7	0	0	2	2	B	0	0	0	1	0	0.75	3	0.002355	403.5	
Enchylaena_tomentosa	87	1	0	7	0	0	4	4	B	0	0	0	1	0	0.25	3	0.002467	355.8	
Cucumis_melo_(agrestis)	88	1	0	7	0	0	3	3	B	0	0	0	1	0	0.3333	3	0.002383	380.4	
Chenopodium_curvispicatum	89	1	0	7	0	0	3	3	B	0	0	0	1	0	0	4	0.002434	389.4	
Grevillea_wickhamii	90	1	0	7	0	0	3	3	B	0	0	0	1	0	0	4	0.002434	391.8	
Grevillea_stenobotrya	91	1	0	7	0	0	3	3	B	0	0	0	1	0	0	4	0.002434	391.8	
Grevillea_eriostachya	92	1	0	7	0	0	3	3	B	0	0	0	1	0	0	4	0.002434	391.8	
Thryptomene_maisonneuve	93	1	0	7	0	0	2	2	B	0	0	0	1	0	0	4	0.00235	421.9	
Santalum_acuminatum	94	1	0	7	0	0	5	5	B	0	0	0	1	0	0.16	3	0.002634	332.6	
Chioromyces_aboriginum	95	1	0	7	0	0	2	2	B	0	0	0	1	0	0.25	3	0.002314	411.3	
Leptosema_chambersii	96	1	0	7	0	0	3	3	B	0	0	0	1	0	0	4	0.002516	387.4	
Hakea_leucoptera	97	1	0	7	0	0	4	4	B	0	0	0	1	0	0.1875	3	0.002468	357.8	
Dactyloctenium_radulans	98	1	0	7	0	0	3	3	B	0	0	0	1	0	0.2222	3	0.002384	382.7	
Eucalyptus_opaca	99	1	0	7	0	0	3	3	B	0	0	0	1	0	0.3333	3	0.002628	375.9	
Santalum_lanceolatum	100	1	0	7	0	0	4	4	B	0	0	0	1	0	0.1875	3	0.00255	354.1	
Allocasuarina_decaisneana	101	1	0	7	0	0	3	3	B	0	0	0	1	0	0.3333	3	0.002546	380.1	
Mycoclelandia_bulundarii	102	1	0	7	0	0	1	1	B	0	0	0	1	0	0	3	0.002286	438.5	
Ficus_brachypoda	103	1	0	7	0	0	2	2	B	0	0	0	1	0	0	4	0.002447	416.7	
Calandrinia_polyandra	104	1	0	7	0	0	2	2	B	0	0	0	1	0	0	4	0.002471	419.3	
Cephalodella_sp.	105	1	0	7	0	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7	
Typha_dominguensis	106	1	0	7	0	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7	
Protozoans_(ciliates)	107	1	0	7	0	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7	
Ostracods	108	1	0	7	0	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7	
Nematodes	109	1	0	7	0	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7	
Myriophyllum_crispatum	110	1	0	7	0	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7	
Lemna_disperma	111	1	0	7	0	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7	
Brachionus_sp.	112	1	0	7	0	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7	
Bdelloid	113	1	0	7	0	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7	
Typha_orientalis	114	1	0	7	0	0	1	1	B	0	0	0	1	0	0	4	0.002508	444.7	
Eremophila_latrobei	115	1	0	7	0	0	3	3	B	0	0	0	1	0	0	4	0.002531	387.4	
Nitraria_billardierei	116	1	0	7	0	0	3	3	B	0	0	0	1	0	0	4	0.002491	389.7	
Hakea_suberea	117	1	0	7	0	0	4	4	B	0	0	0	1	0	0.1875	3	0.002565	354.1	
Eremophila_longifolia	118	1	0	7	0	0	3	3	B	0	0	0	1	0	0	4	0.002491	389.7	
Daucus_glochidiatus	119	1	0	7	0	0	3	3	B	0	0	0	1	0	0	4	0.002491	389.7	
Tachyglossus_aculeatus	120	1	0	6	0	3	8	11	I	1	1	1	2	0	0.1875	3	0.002931	1272	
Pogona_minor	121	1	0	6	0	3	6	9	I	1	1	1	2	0	0.1111	3	0.002836	1457	
Moloch_horridus	122	1	0	6	0	2	3	5	I	1	1	1	2	0	0.2222	3	0.002386	2603	
Lophognatus_gilberti	123	1	0	6	0	2	5	7	I	1	1	1	2	0	0.16	3	0.002808	2297	
Notoryctes_caurinus	124	1	0	6	0	9	11	20	I	1	1	1	2	0	0.1901	3	0.003485	359.3	
Tiliqua_scincoides	125	1	0	6	0	9	4	13	I	1	1.759	2	2.222	0.4157	0	4	0.002536	582.3	
Tiliqua_occipitalis	126	1	0	6	0	9	9	18	I	1	1.759	2	2.222	0.4157	0.1605	3	0.003127	416.5	
Tiliqua_multifasciata	127	1	0	6	0	9	8	17	I	1	1.759	2	2.222	0.4157	0.1875	3	0.003055	436	
Tympanocryptis_tetraporophora	128	1	0	6	0	3	3	6	I	1	1	1	2	0	0.3333	3	0.002479	1716	
Notaden_nichollsi	129	1	0	6	0	3	1	4	I	1	1	1	2	0	0	4	0.002367	2044	
Stiltia_isabella	130	1	0	6	0	5	2	7	I	1	1	1	2	0	0.25	3	0.002406	1107	
Pygopus_schraderi	131	1	0	6	0	5	2	7	I	1	1	1	2	0	0.25	3	0.002406	1107	
Sminthopsis_macroura	132	1	0	6	0	3	1	4	I	1	1	1	2	0	0	4	0.00233	2019	
Pogona_vitticeps	133	1	0	6	0	3	8	11	I	1	1	1	2	0	0.1406	3	0.002989	1287	
Heteronotia_binoei	134	1	0	6	0	4	5	9	I	1	1	1	2	0	0.24	3	0.002844	1102	
Amphibolurus_burnsi	135	1	0	6	0	5	5	10	I	1	1	1	2	0	0.24	3	0.002844	881.2	
Macrotis_lagotis	136	1	0	6	0	5	2	7	I	1	1	1	2	0	0.5	3	0.002457	1099	
Varanus_acanthurus	137	1	0	6	0	5	5	10	I	1	1	1	2	0	0.08	3	0.002612	916.8	
Felis_catus	138	1	0	5	0	32	3	35	I	1	7.868	13	3.135	2.237	0.6667	3	0.002476	172	
Canis_lupus_dingo	139	1	0	5	0	33	2	35	I	1	7.938	13	3.084	2.592	0.5	3	0.002403	137.7	
Aquila_audax	140	1	0	5	0	22	3	25	I	1	7.55	13	3.168	2.535	0.5556	3	0.00258	212.9	
Ardeotis_australis	141	1	0	5	0	35	4	39	I	1	8.186	13	2.783	1.363	0.5	3	0.002658	154.1	
Dasyurus_hallucatus	142	1	0	5	0	14	2	16	I	1	1.994	2	2.929	0.2575	0.5	3	0.002398	428.3	
Triodia_pungens	143	1	0	4	0	0	21	21	B	0	0	0	1	0	0.02268	4	0.006199	150.2	
Triodia_longiceps	144	1	0	4	0	0	21	21	B	0	0	0	1	0	0.02268	4	0.006199	150.2	
Sida_calyxhymenia	145	1	0	4	0	0	8	8	B	0	0	0	1	0	0	4	0.003461	274.4	
Ptilotus_polystachyus	146	1	0	4	0	0	10	10	B	0	0	0	1	0	0	4	0.003975	246	
Ptilotus_macrocephalus	147	1	0	4	0	0	9	9	B	0	0	0	1	0	0	4	0.003811	253.2	
Ptilotus_exaltatus	148	1	0	4	0	0	10	10	B	0	0	0	1	0	0	4	0.003896	242	
Plectrachne_schinzii	149	1	0	4	0	0	18	18	B	0	0	0	1	0	0	4	0.00539	167.9	
Panicum_decompositum	150	1	0	4	0	0	14	14	B	0	0	0	1	0	0.06122	3	0.004665	193.9	
Eragrostis_setifolia	151	1	0	4	0	0	14	14	B	0	0	0	1	0	0	4	0.004822	195.6	
Eragrostis_lanipes	152	1	0	4	0	0	14	14	B	0	0	0	1	0	0	4	0.004822	195.6	
Eragrostis_eriopoda	153	1	0	4	0	0	14	14	B	0	0	0	1	0	0	4	0.004822	195.6	
Triodia_basedownii	154	1	0	4	0	0	17	17	B	0	0	0	1	0	0.02076	4	0.005353	178.3	
Camelus_dromedarius	155	1	0	3	0	34	2	36	I	1	1	1	2	0	0.75	3	0.002359	161.6	
Trichosurus_vulpecula	156	1	0	3	0	16	4	20	I	1	1	1	2	0	0.5	3	0.002658	296.1	
Fulica_atra	157	1	0	3	0	10	4	14	I	1	1	1	2	0	0.5625	3	0.002554	473.7	
Dromaius_novaehollandiae	158	1	0	3	0	28	2	30	I	1	2.202	3	2.123	0.4802	0.75	3	0.002359	202.8	
Reptile_eggs	159	1	0	2	0	0	8	8	B	0	0	0	1	0	0.09375	3	0.003175	282.4	
Morethia_lineoocellatus	160	1	0	2	0	6	7	13	I	1	1	1	2	0	0.102	4	0.003253	662.4	
Menetia_greyii	161	1	0	2	0	6	7	13	I	1	1	1	2	0	0.102	4	0.003253	662.4	
Lerista_bougainvillea	162	1	0	2	0	5	6	11	I	1	1	1	2	0	0.1111	4	0.002962	855	
Bird_egg_shell	163	1	0	2	0	0	5	5	B	0	0	0	1	0	0.12	4	0.002957	332.5	
Leiolopisma_trilineatum	164	1	0	2	0	9	10	19	I	1	1.759	2	2.222	0.4157	0.08	4	0.003484	394.8	
Leiolopisma_metallicum	165	1	0	2	0	9	11	20	I	1	1.759	2	2.222	0.4157	0.08264	4	0.003553	376.1	
Aprasia_striolata	166	1	0	2	0	2	4	6	I	1	1	1	2	0	0.1875	4	0.002819	2368	
Hemiergis_peronii	167	1	0	2	0	9	8	17	I	1	1.759	2	2.222	0.4157	0.1094	4	0.003287	436.6	
Orthoptera	168	1	0	1	0	0	19	19	B	0	0	0	1	0	0.08587	3	0.007335	155.5	
Lepidoptera	169	1	0	1	0	0	34	34	B	0	0	0	1	0	0.05363	4	0.01374	97.89	
Blattodea	170	1	0	1	0	0	43	43	B	0	0	0	1	0	0.04813	3	0.01798	85.01	
Coleoptera	171	1	0	1	0	0	40	40	B	0	0	0	1	0	0.04938	3	0.01495	88.03	
Formicidae	172	1	0	1	0	0	30	30	B	0	0	0	1	0	0.02556	4	0.01667	111.7	
Chilopoda	173	1	0	1	0	0	33	33	B	0	0	0	1	0	0.06244	3	0.01198	102.2	
Araneidae	174	1	0	1	0	0	32	32	B	0	0	0	1	0	0.03711	4	0.01159	105.1	
